Squad,GF,GA,xG,xGA,xGD
,1.8337135962542013,-1.4072330011178513,0.6527533657682195,-1.6453502289942854,1.4032772177182098
Arsenal,1.4121702407934653,-1.4072330011178513,-0.21758445525607353,-0.329070045798857,0.07196293424195954
Tottenham,1.4121702407934653,-0.2506031371853709,0.40408541690413563,-1.1068719722325193,0.8995366780244934
Liverpool,0.5690835298719934,0.13494015079212257,0.5284193913361775,-0.987210137396571,0.8995366780244934
Bournemouth,1.8337135962542013,-0.6361464251628643,1.5852581740085332,-0.8675483025606229,1.4392586848391895
Chelsea,0.14754017441125744,-0.6361464251628643,0.7149203529842402,0.44873188063480574,0.14392586848391903
Everton,0.14754017441125744,-0.6361464251628643,-1.0879222762803662,-0.3889009632168308,-0.3957961383307771
Sunderland,-0.2740031810494785,-1.4072330011178513,0.6527533657682195,-0.688055550306701,0.7915922766615543
Crystal Palace,-0.6955465365102145,-0.6361464251628643,-0.4662524041201569,-1.8248429812482074,0.8275737437825339
Newcastle Utd,-0.6955465365102145,-0.2506031371853709,-0.4662524041201569,0.5085627980527795,-0.6116849410566555
Fulham,-0.2740031810494785,-0.2506031371853709,1.7095921484405752,0.5683937154707533,0.6476664081776354
Manchester Utd,0.14754017441125744,0.9060267267471096,0.031083493608010347,0.3889009632168314,-0.21588880272587835
Brentford,-0.2740031810494785,0.5204834387696161,0.9635883018483241,0.2692391283808832,0.39579613833077726
Brighton,-0.2740031810494785,1.291570014724603,-0.9014213146323033,0.9273792199785978,-1.1154254807503718
Nott'ham Forest,-1.5386332474316864,0.5204834387696161,-0.9014213146323033,-0.20940821096290888,-0.3957961383307771
Leeds United,0.14754017441125744,-0.2506031371853709,1.523091186792512,-0.029915458708986906,0.8995366780244934
Manchester City,-0.2740031810494785,0.5204834387696161,-1.212256250712408,2.303490320592,-2.086925093016825
Burnley,-0.2740031810494785,2.4481998786570833,-0.5284193913361781,0.2094082109629094,-0.3957961383307771
West Ham,-1.9601766028924223,-0.2506031371853709,-1.3987572123604708,1.2863647244864418,-1.5831845533231086
Aston Villa,-1.1170898919709504,1.6771133027020966,-1.5852581740085334,1.1667028896504936,-1.6191660204440883
